"id","label"
"UBERON:0008320","common penile artery"
"UBERON:0008446","flexor pollicis longus muscle"
"UBERON:0008465","abductor pollicis brevis muscle"
"UBERON:0008783","dorsal venous arch"
"UBERON:0000006","islet of Langerhans"
"UBERON:0000016","endocrine pancreas"
"UBERON:0000017","exocrine pancreas"
"UBERON:0000061","anatomical structure"
"UBERON:0000362","renal medulla"
"UBERON:0000442","right testicular vein"
"UBERON:0000443","left testicular vein"
"UBERON:0000947","aorta"
"UBERON:0000976","humerus"
"UBERON:0000985","axillary vein"
"UBERON:0001064","ventral pancreatic duct"
"UBERON:0001069","head of pancreas"
"UBERON:0001070","external carotid artery"
"UBERON:0001071","superficial cervical artery"
"UBERON:0001072","inferior vena cava"
"UBERON:0001101","external jugular vein"
"UBERON:0001104","anterior jugular vein"
"UBERON:0001106","cephalic vein"
"UBERON:0001129","subscapularis muscle"
"UBERON:0001138","superior mesenteric vein"
"UBERON:0001139","common iliac vein"
"UBERON:0001140","renal vein"
"UBERON:0001141","right renal vein"
"UBERON:0001142","left renal vein"
"UBERON:0001150","body of pancreas"
"UBERON:0001151","tail of pancreas"
"UBERON:0001182","superior mesenteric artery"
"UBERON:0001183","inferior mesenteric artery"
"UBERON:0001184","renal artery"
"UBERON:0001185","right renal artery"
"UBERON:0001186","left renal artery"
"UBERON:0001187","testicular artery"
"UBERON:0001188","right testicular artery"
"UBERON:0001189","left testicular artery"
"UBERON:0001190","ovarian artery"
"UBERON:0001191","common iliac artery"
"UBERON:0001192","left gastric artery"
"UBERON:0001194","splenic artery"
"UBERON:0001195","inferior pancreaticoduodenal artery"
"UBERON:0001196","middle colic artery"
"UBERON:0001197","ileocolic artery"
"UBERON:0001198","superior suprarenal artery"
"UBERON:0001213","intestinal villus"
"UBERON:0001214","pancreatic tributary of splenic vein"
"UBERON:0001215","inferior mesenteric vein"
"UBERON:0001216","jejunal vein"
"UBERON:0001217","ileal vein"
"UBERON:0001218","middle colic vein"
"UBERON:0001219","ileocolic vein"
"UBERON:0001225","cortex of kidney"
"UBERON:0001229","renal corpuscle"
"UBERON:0001248","hilum of spleen"
"UBERON:0001250","red pulp of spleen"
"UBERON:0001251","marginal zone of spleen"
"UBERON:0001263","pancreatic acinus"
"UBERON:0001265","trabecula of spleen"
"UBERON:0001266","splenic cord"
"UBERON:0001281","hepatic sinusoid"
"UBERON:0001284","renal column"
"UBERON:0001285","nephron"
"UBERON:0001289","descending limb of loop of Henle"
"UBERON:0001290","proximal straight tubule"
"UBERON:0001291","thick ascending limb of loop of Henle"
"UBERON:0001292","distal convoluted tubule"
"UBERON:0001294","inner medulla of kidney"
"UBERON:0001308","external iliac artery"
"UBERON:0001309","internal iliac artery"
"UBERON:0001310","umbilical artery"
"UBERON:0001311","inferior vesical artery"
"UBERON:0001312","superior vesical artery"
"UBERON:0001313","iliolumbar artery"
"UBERON:0001314","obturator artery"
"UBERON:0001315","superior gluteal artery"
"UBERON:0001316","external iliac vein"
"UBERON:0001317","internal iliac vein"
"UBERON:0001318","inferior vesical vein"
"UBERON:0001319","vaginal vein"
"UBERON:0001320","iliolumbar vein"
"UBERON:0001321","obturator vein"
"UBERON:0001330","pampiniform plexus"
"UBERON:0001340","dorsal artery of penis"
"UBERON:0001354","inferior epigastric artery"
"UBERON:0001355","deep femoral artery"
"UBERON:0001356","medial circumflex femoral artery"
"UBERON:0001357","inferior rectal artery"
"UBERON:0001358","perineal artery"
"UBERON:0001360","deep circumflex iliac vein"
"UBERON:0001361","femoral vein"
"UBERON:0001362","perineal vein"
"UBERON:0001363","great saphenous vein"
"UBERON:0001394","axillary artery"
"UBERON:0001395","thoraco-acromial artery"
"UBERON:0001396","lateral thoracic artery"
"UBERON:0001397","subscapular artery"
"UBERON:0001398","brachial artery"
"UBERON:0001399","deep brachial artery"
"UBERON:0001404","radial artery"
"UBERON:0001406","ulnar artery"
"UBERON:0001410","common palmar digital artery"
"UBERON:0001411","basilic vein"
"http://purl.org/sig/ont/fma/fma6240","Internal laryngeal nerve"
"http://purl.org/sig/ont/fma/fma6242","Lower branch of internal laryngeal nerve"
"http://purl.org/sig/ont/fma/fma6243","External laryngeal nerve"
"http://purl.org/sig/ont/fma/fma6244","Superior cervical cardiac branch of vagus nerve"
"http://purl.org/sig/ont/fma/fma6247","Bronchial branch of vagus nerve"
"http://purl.org/sig/ont/fma/fma6248","Esophageal branch of recurrent laryngeal nerve"
"http://purl.org/sig/ont/fma/fma6249","Tracheal branch of recurrent laryngeal nerve"
"http://purl.org/sig/ont/fma/fma6250","Branch of recurrent laryngeal nerve to muscle of larynx"
"http://purl.org/sig/ont/fma/fma6251","Branch of recurrent laryngeal nerve to mucosa of larynx"
"http://purl.org/sig/ont/fma/fma6670","Renal branch of vagus nerve"
"http://purl.org/sig/ont/fma/fma6691","Communicating branch of auricular branch of vagus nerve with facial nerve"
"http://purl.org/sig/ont/fma/fma6692","Communicating branch of auricular branch of vagus nerve with posterior auricular nerve"
"http://purl.org/sig/ont/fma/fma6694","Branch of auricular branch of vagus nerve to posterior wall of external acoustic meatus"
"http://purl.org/sig/ont/fma/fma6695","Vagal branch to tympanic membrane"
"http://purl.org/sig/ont/fma/fma6697","Upper branch of internal laryngeal nerve to mucosa of pharynx"
"http://purl.org/sig/ont/fma/fma6699","Lower branch of internal laryngeal nerve to aryepiglottic fold"
"http://purl.org/sig/ont/fma/fma6700","Lower branch of internal laryngeal nerve to mucosa of arytenoid cartilage"
"http://purl.org/sig/ont/fma/fma6702","Upper branch of internal laryngeal nerve to epiglottis"
"http://purl.org/sig/ont/fma/fma6703","Upper branch of internal laryngeal nerve to epiglottic vallecula"
"http://purl.org/sig/ont/fma/fma6704","Upper branch of internal laryngeal nerve to laryngeal vestibule"
